business_type,business_age_months,location_type,state,num_employees,store_size_sqm,foot_traffic_daily,has_online_presence,uses_pos,marketing_spend_naira,inventory_value_naira,num_products,average_product_price_naira,month,customer_retention_rate,has_loyalty_program,accepts_credit_cards,opening_hours_per_day,competition_nearby,has_parking,monthly_sales_thousands
Electronics,74,Shopping_Mall,Lagos,6,57,248,1,1,43067,4678512,471,6710,January,87,0,1,15,2,1,26346.8
Fashion_Store,102,Estate,Enugu,13,16,427,1,0,154227,1733769,277,40202,May,57,0,1,11,7,1,14018.53
Pharmacy,91,Street_Shop,Ibadan,10,160,443,1,0,135370,4394888,50,43850,October,36,0,0,13,0,0,15472.3
Electronics,31,Shopping_Mall,Lagos,13,124,312,1,0,23325,4417476,328,39730,March,35,0,1,15,4,0,24767.4
Retail_Shop,35,Shopping_Mall,Lagos,17,26,224,0,1,16665,3406112,175,4080,March,88,0,0,12,2,1,13892.2
Restaurant,73,Shopping_Mall,Lagos,17,123,126,0,0,95974,2725799,110,9995,October,70,0,1,11,9,0,11548.32
Pharmacy,71,Online,Enugu,3,49,438,0,0,134866,1917352,360,14805,December,55,0,0,11,1,1,12138.78
Supermarket,26,Shopping_Mall,Abuja,15,32,418,0,1,75126,4756642,183,16806,May,60,0,0,12,5,0,12882.18
Electronics,116,Market,Lagos,13,40,118,0,1,196235,4209489,151,33823,November,73,0,0,14,3,0,22311.89
Pharmacy,94,Street_Shop,Abuja,19,113,132,0,0,135882,2480840,140,30331,September,58,0,1,8,6,0,14437.87
Retail_Shop,24,Market,Enugu,6,129,327,1,0,10079,1994809,324,39344,June,84,0,0,12,5,0,7658.89
Fashion_Store,63,Street_Shop,Abuja,5,36,230,1,0,60956,4337165,486,2511,January,94,0,1,13,5,1,20835.84
Electronics,102,Market,Ibadan,14,77,462,1,1,12660,2274805,248,49544,December,80,0,1,9,2,1,27433.28
Salon,11,Estate,Kano,2,12,298,1,0,142540,1261905,185,1496,September,46,1,1,15,1,0,7616.85
Pharmacy,65,Street_Shop,Port_Harcourt,4,44,455,1,0,131654,3268820,331,43183,September,67,0,1,14,0,1,22368.23
Pharmacy,63,Market,Kano,15,157,233,1,0,58937,4002218,184,14176,February,74,0,0,8,3,0,13789.2
Supermarket,110,Shopping_Mall,Port_Harcourt,17,43,62,1,1,170554,268025,366,9847,September,91,1,1,10,7,0,14261.26
Electronics,78,Street_Shop,Lagos,3,103,204,1,0,95175,2556481,149,4191,February,84,0,0,10,7,1,10399.84
Restaurant,35,Market,Ibadan,4,71,57,0,0,137245,2796352,50,36280,December,75,1,0,13,5,1,18037.59
Pharmacy,95,Market,Kano,4,22,244,0,1,192961,2033787,252,16762,October,88,1,1,8,5,0,13410.62
Fashion_Store,43,Street_Shop,Enugu,17,62,83,0,1,110183,3596030,425,16701,February,52,0,1,9,4,1,12936.54
Salon,44,Street_Shop,Lagos,19,125,228,1,0,186207,105278,405,30127,August,49,0,0,9,8,0,7695.04
Salon,65,Street_Shop,Lagos,15,97,342,1,1,132978,1495060,192,20809,June,30,0,0,8,0,1,11842.08
Retail_Shop,97,Market,Port_Harcourt,13,30,268,1,1,183450,440763,407,29574,January,40,0,1,12,0,0,9630.89
Restaurant,36,Shopping_Mall,Lagos,11,13,320,0,0,20657,548431,63,4249,August,86,0,0,12,2,0,3238.47
Restaurant,18,Shopping_Mall,Ibadan,6,197,123,0,1,77647,1021076,210,20519,August,53,0,0,9,2,1,7049.72
Electronics,6,Market,Abuja,2,17,110,0,1,130038,1792099,192,39698,December,65,0,1,15,1,1,14818.44
Restaurant,24,Online,Enugu,1,14,462,1,1,177409,889708,386,27764,November,41,1,0,15,1,0,17564.12
Salon,117,Estate,Lagos,7,140,93,1,0,163900,2200637,449,20681,July,72,0,1,8,8,0,12867.47
Restaurant,119,Street_Shop,Lagos,18,84,156,0,1,184082,4205759,310,3005,October,86,0,1,15,7,1,21267.59
Fashion_Store,46,Street_Shop,Enugu,16,26,489,1,1,20597,2055683,224,6658,October,44,0,0,15,4,0,9164.06
Fashion_Store,21,Shopping_Mall,Lagos,2,105,59,0,1,91559,3558909,144,17324,July,76,0,1,10,5,0,11330.48
Electronics,113,Street_Shop,Enugu,13,149,285,1,0,10012,3972488,146,23547,February,78,0,1,14,1,0,19572.1
Electronics,40,Market,Enugu,16,180,209,0,1,114143,1227573,34,4419,December,34,1,0,12,7,0,13235.63
Retail_Shop,80,Estate,Lagos,9,29,52,1,1,186398,2871745,256,45770,March,37,0,0,8,4,0,20351.22
Pharmacy,28,Street_Shop,Ibadan,14,99,308,1,1,49244,4168342,249,23721,January,32,0,0,11,2,1,16218.92
Restaurant,37,Street_Shop,Ibadan,7,117,393,0,1,174272,139150,143,49688,November,62,0,0,8,0,0,11811.22
Salon,49,Market,Enugu,11,112,407,0,1,12264,1834744,463,30433,September,79,0,0,10,2,0,8851.1
Electronics,112,Estate,Enugu,12,162,299,1,1,114833,1540996,255,42348,February,48,1,0,10,1,0,11554.14
Fashion_Store,77,Street_Shop,Port_Harcourt,6,22,148,1,0,166234,2345413,74,568,May,76,0,0,14,7,1,11109.33
Retail_Shop,101,Street_Shop,Lagos,16,90,293,1,1,148904,2025708,114,14837,June,70,0,1,10,2,0,13036.53
Restaurant,98,Street_Shop,Kano,3,40,394,1,1,189370,576891,51,15204,March,41,0,0,12,3,1,12725.3
Salon,118,Street_Shop,Ibadan,9,184,464,0,0,27748,1064107,494,7215,May,78,0,1,13,6,1,6326.1
Fashion_Store,79,Market,Lagos,15,88,428,0,1,145520,4686500,404,40302,June,50,1,0,8,1,0,23010.75
Pharmacy,87,Market,Abuja,5,199,184,0,1,109805,3197493,174,43136,February,48,1,0,15,3,0,14245.91
Pharmacy,87,Shopping_Mall,Ibadan,8,84,27,0,0,40758,4509832,305,42312,October,36,0,1,15,3,0,16030.84
Fashion_Store,96,Shopping_Mall,Abuja,9,87,253,1,1,16102,2518043,462,3381,August,60,0,1,10,6,1,14948.35
Pharmacy,50,Market,Ibadan,8,72,392,1,0,46868,2453322,142,38464,January,65,1,0,15,5,0,14952.11
Retail_Shop,13,Market,Kano,3,117,37,1,1,93317,1075261,411,26308,October,51,0,0,8,7,0,9185.28
Fashion_Store,98,Shopping_Mall,Abuja,8,27,480,1,1,196715,4795661,70,1138,October,91,0,1,9,1,0,21280.2
Pharmacy,82,Shopping_Mall,Port_Harcourt,10,165,494,0,0,86611,624696,364,16836,April,92,0,0,11,9,1,9245.57
Electronics,35,Street_Shop,Kano,3,141,494,0,1,95022,3740372,331,37225,January,32,0,1,9,5,1,11716.33
Pharmacy,108,Estate,Lagos,4,129,152,1,0,31500,3600641,132,12650,March,31,0,0,10,6,0,15892.48
Restaurant,49,Market,Lagos,19,13,154,1,0,167499,3687126,456,31198,September,73,0,0,11,7,1,19097.12
Electronics,105,Market,Port_Harcourt,2,162,312,1,1,10892,347295,77,24771,July,86,0,0,10,2,0,8339.63
Electronics,29,Street_Shop,Enugu,4,116,119,0,1,26640,4828721,273,44947,January,62,1,0,12,1,0,14755.33
Fashion_Store,99,Street_Shop,Kano,11,76,376,0,0,91443,3635814,463,6645,October,92,1,1,13,2,0,17981.38
Pharmacy,71,Street_Shop,Port_Harcourt,6,64,46,1,1,96619,1094609,298,43117,January,37,0,0,15,8,0,8713.57
Electronics,67,Online,Abuja,5,94,408,0,1,168181,4533507,497,5484,October,33,0,1,12,4,0,17682.36
Fashion_Store,45,Street_Shop,Enugu,12,39,188,0,1,37118,375961,438,18946,January,52,0,0,8,9,0,3371.65
Pharmacy,97,Online,Ibadan,11,35,450,1,1,75631,388372,91,1924,March,36,0,1,8,5,0,7939.83
Fashion_Store,83,Shopping_Mall,Kano,8,146,69,0,1,135037,371492,455,29391,July,81,1,0,9,8,1,10048.05
Pharmacy,36,Market,Kano,7,60,269,1,1,17792,3044458,210,4492,August,38,0,0,13,9,0,11464.19
Fashion_Store,85,Market,Abuja,13,42,109,0,1,97376,4635731,422,24614,December,44,0,1,15,1,0,27405.78
Electronics,100,Market,Abuja,11,54,498,1,1,172540,1780076,151,28415,April,93,0,1,11,9,1,28239.85
Retail_Shop,57,Shopping_Mall,Lagos,17,107,364,1,0,112917,4008644,301,46621,March,51,0,0,15,8,1,28674.26
Electronics,23,Estate,Abuja,8,96,382,1,1,116528,2266256,266,20414,November,55,1,1,11,9,1,18396.53
Pharmacy,25,Estate,Ibadan,14,13,106,1,0,37879,2189619,298,17866,August,43,0,1,8,1,0,10004.05
Pharmacy,92,Market,Port_Harcourt,12,134,247,0,1,40360,1881938,372,37604,December,46,0,1,9,6,0,20571.22
Fashion_Store,56,Shopping_Mall,Port_Harcourt,5,74,405,1,1,111839,2477578,45,9079,March,53,0,0,11,0,1,20626.54
Retail_Shop,114,Online,Lagos,12,197,321,1,0,132814,4887447,445,23015,May,59,0,0,9,9,0,17107.17
Fashion_Store,33,Estate,Abuja,14,126,260,0,1,147789,1473858,296,5005,December,37,0,1,10,2,0,13153.39
Fashion_Store,94,Shopping_Mall,Enugu,7,60,354,1,1,105649,3705399,107,49396,July,32,0,0,10,3,0,21576.26
Pharmacy,61,Estate,Port_Harcourt,14,143,49,0,1,68184,1631327,77,5847,April,82,0,1,9,7,1,16056.3
Electronics,14,Market,Kano,8,40,245,1,1,100397,3379138,306,38358,October,86,0,1,13,6,1,18924.19
Retail_Shop,50,Market,Ibadan,17,198,434,1,0,148474,3103533,353,4890,March,77,0,1,9,2,1,26511.51
Pharmacy,11,Market,Port_Harcourt,17,137,109,1,1,49095,1521032,289,44584,December,79,1,1,9,0,0,19316.07
Fashion_Store,20,Market,Lagos,13,28,160,1,1,152610,2501098,201,3882,October,65,0,0,8,3,0,14348.11
Retail_Shop,53,Market,Port_Harcourt,8,190,386,1,1,22356,598753,166,36804,January,82,1,1,10,0,1,18110.35
Restaurant,17,Shopping_Mall,Abuja,17,57,471,1,0,92171,4404535,422,7119,November,60,1,0,8,8,0,30697.93
Salon,44,Street_Shop,Abuja,3,67,244,1,0,129518,3487389,149,35920,September,51,0,1,11,1,0,17973.42
Supermarket,16,Shopping_Mall,Lagos,11,152,295,0,1,161719,640456,178,44892,October,85,0,0,9,6,1,13305.67
Fashion_Store,32,Market,Abuja,9,187,229,0,1,85659,4204487,213,30390,April,46,0,1,10,4,0,23004.31
Electronics,108,Shopping_Mall,Kano,9,44,187,0,1,105947,4944444,235,44453,December,50,0,1,13,7,0,29110.48
Pharmacy,78,Online,Port_Harcourt,8,176,429,0,1,154763,364167,412,44127,February,70,1,0,14,4,0,11846.6
Restaurant,110,Shopping_Mall,Lagos,16,25,170,1,1,77701,3378193,175,6194,December,80,1,0,8,5,0,29632.38
Salon,57,Street_Shop,Ibadan,19,38,314,1,1,167692,3000103,375,17610,August,41,0,1,10,0,0,18985.2
Salon,118,Shopping_Mall,Lagos,10,132,324,0,1,187432,4560547,27,30526,October,47,1,0,10,1,0,24719.26
Salon,21,Estate,Kano,11,124,60,1,0,174483,1628620,437,7789,February,50,0,1,13,5,0,9359.44
Restaurant,103,Market,Abuja,11,184,353,1,0,38895,3776798,120,45994,January,84,0,0,10,5,1,14635.74
Electronics,87,Shopping_Mall,Abuja,14,118,288,1,1,65987,4908750,77,33390,January,66,0,1,8,2,0,21378.27
Salon,62,Shopping_Mall,Kano,9,88,65,1,1,117606,1633333,71,49032,November,57,0,0,13,6,0,22393.4
Electronics,80,Estate,Abuja,15,34,137,1,1,125006,4169223,60,11449,July,34,0,1,15,0,1,25382.84
Electronics,102,Market,Enugu,12,75,435,0,1,103954,3517556,172,12863,June,71,1,1,11,3,0,17526.66
Salon,60,Market,Kano,2,166,84,1,1,40874,4214758,160,7212,September,70,1,0,10,5,0,19774.66
Salon,30,Street_Shop,Kano,17,51,261,0,0,186980,1298510,332,5780,July,72,0,0,14,9,0,5370.09
Electronics,73,Shopping_Mall,Lagos,4,55,334,0,0,152093,4379804,234,4048,November,70,0,1,13,6,0,23362.09
Electronics,65,Market,Port_Harcourt,15,70,88,0,0,112493,1041286,444,28316,January,42,1,1,10,4,1,10718.01
Pharmacy,108,Market,Kano,11,76,378,0,1,108034,2781467,455,16001,December,75,0,1,13,3,1,20051.58
Pharmacy,33,Street_Shop,Ibadan,13,149,149,0,0,86512,4955379,107,14799,August,90,0,1,11,7,0,13237.84
Restaurant,89,Market,Ibadan,8,152,495,0,1,90413,1729293,187,18307,December,88,0,1,15,1,1,20614.23
Fashion_Store,56,Market,Ibadan,9,106,321,1,1,51782,1473532,348,10464,March,55,0,1,12,8,1,21049.51
Supermarket,65,Street_Shop,Abuja,1,55,383,0,0,31160,1201080,419,10562,October,70,1,1,14,2,0,8658.05
Restaurant,29,Street_Shop,Port_Harcourt,4,111,318,0,0,140223,289095,327,23162,March,80,0,0,11,4,1,9335.09
Electronics,45,Street_Shop,Kano,15,111,193,0,1,44177,4105420,335,41778,August,44,1,0,14,2,0,19094.06
Restaurant,116,Market,Ibadan,1,160,132,1,0,7401,501254,386,2610,August,85,0,1,14,7,0,4043.88
Salon,7,Street_Shop,Lagos,14,18,100,0,0,114137,435177,170,25847,October,37,0,0,15,4,1,5131.88
Salon,84,Street_Shop,Lagos,12,135,114,1,1,154429,208117,240,1354,March,80,0,1,13,3,0,12080.13
Electronics,110,Online,Ibadan,4,107,106,0,1,16258,2981163,394,41462,January,83,1,0,9,2,1,17817.1
Retail_Shop,47,Street_Shop,Enugu,6,33,75,1,1,71345,2970966,482,33229,October,66,0,1,10,2,1,19978.47
Retail_Shop,108,Shopping_Mall,Abuja,8,145,147,1,1,121057,4445740,132,41425,February,43,0,0,15,1,0,18764.71
Retail_Shop,81,Market,Abuja,16,147,286,0,1,16293,3992745,334,41793,September,49,0,0,12,1,0,14240.47
Restaurant,102,Market,Enugu,14,183,49,0,0,196913,1819992,450,29541,February,50,1,0,11,3,1,13087.95
Supermarket,117,Market,Port_Harcourt,17,129,20,0,0,183753,2906571,210,2172,January,45,0,1,11,3,0,10889.51
Retail_Shop,83,Street_Shop,Lagos,2,13,318,1,0,125207,2883811,444,43695,July,43,1,1,9,8,0,19603.94
Retail_Shop,75,Shopping_Mall,Lagos,11,55,54,1,1,146657,3854208,191,35307,January,80,0,0,14,5,1,18910.35
Supermarket,56,Street_Shop,Lagos,11,143,481,0,1,146784,1308930,399,47200,June,68,1,1,13,6,0,16000.78
Supermarket,116,Market,Port_Harcourt,2,188,278,1,1,53459,1403045,116,16812,March,31,1,1,13,9,0,22991.85
Supermarket,37,Shopping_Mall,Lagos,18,31,381,1,1,196782,2041856,444,9666,March,94,0,0,14,1,0,19502.76
Salon,13,Street_Shop,Port_Harcourt,12,182,454,1,1,98284,3012680,477,34668,May,32,0,1,12,6,0,13186.24
Fashion_Store,89,Estate,Abuja,15,125,263,0,1,10664,2582201,37,1036,September,36,0,1,9,3,0,10159.4
Retail_Shop,115,Market,Enugu,5,53,456,1,0,101920,4841555,298,20726,March,80,0,0,14,4,1,28421.68
Pharmacy,17,Street_Shop,Abuja,3,142,149,0,1,74223,3555731,190,47195,December,94,0,1,14,0,1,26147.42
Fashion_Store,77,Market,Port_Harcourt,18,182,343,1,1,131563,618293,253,49649,July,85,1,0,13,9,1,13933.64
Retail_Shop,109,Shopping_Mall,Ibadan,14,49,425,1,1,94068,3183613,280,2593,February,49,0,1,9,7,0,12050.07
Restaurant,12,Street_Shop,Ibadan,8,38,223,0,0,5831,2723663,224,1121,September,70,0,0,8,9,0,5729.74
Pharmacy,74,Estate,Enugu,11,85,331,0,1,171676,4772809,236,45485,November,39,0,1,14,8,0,27551.32
Restaurant,12,Street_Shop,Port_Harcourt,9,63,465,1,1,76939,824582,310,19446,May,55,1,1,10,9,1,9185.58
Supermarket,113,Shopping_Mall,Kano,5,188,469,0,1,191800,2111111,399,47835,June,74,0,1,11,3,0,18972.41
Salon,96,Online,Port_Harcourt,2,76,370,1,1,111944,4675317,301,24553,March,63,0,1,10,9,1,32717.11
Supermarket,97,Shopping_Mall,Abuja,19,135,420,0,1,35993,2830382,250,2974,June,77,0,1,8,0,0,13799.03
Retail_Shop,24,Shopping_Mall,Abuja,6,92,154,1,1,55573,2060007,119,4461,June,36,0,1,13,7,1,11944.91
Fashion_Store,37,Market,Lagos,3,55,43,0,0,47615,1151465,430,14112,February,50,1,0,8,4,0,5619.51
Electronics,60,Street_Shop,Port_Harcourt,9,178,256,0,1,84697,1679797,95,42648,March,54,0,1,9,2,0,20351.39
Electronics,61,Online,Ibadan,2,118,185,1,1,34014,2545089,27,38095,February,87,1,1,12,7,0,18671.68
Restaurant,9,Shopping_Mall,Ibadan,1,97,268,1,0,68743,2054963,442,20999,April,73,0,1,9,5,1,10962.7
Restaurant,99,Market,Enugu,7,115,296,1,0,60259,3649091,458,43481,March,69,0,1,12,5,1,28283.33
Restaurant,41,Market,Enugu,14,74,300,0,0,140968,2712882,292,9675,June,53,0,0,8,9,0,9847.83
Supermarket,115,Market,Ibadan,3,168,468,0,0,194970,3052494,187,47634,April,64,1,1,15,6,1,34751.3
Fashion_Store,48,Street_Shop,Lagos,17,78,409,0,1,23978,1576681,440,43316,October,52,1,1,11,6,1,18830.96
Supermarket,36,Shopping_Mall,Enugu,7,29,117,0,0,125243,1193306,141,11973,June,80,1,1,11,6,0,10033.38
Salon,34,Estate,Abuja,13,76,184,1,0,48224,4018842,235,35584,January,68,0,1,15,7,1,16936.6
Retail_Shop,51,Market,Abuja,7,124,407,1,1,142466,4230921,183,16167,April,52,0,1,13,6,1,45878.08
Pharmacy,11,Market,Ibadan,5,182,260,1,1,152869,4079193,492,23507,November,45,0,1,11,6,0,19575.12
Restaurant,57,Market,Port_Harcourt,10,194,213,0,1,131414,1216186,430,45008,January,40,0,0,14,8,1,11200.73
Pharmacy,20,Street_Shop,Kano,5,26,355,1,1,119472,1632425,227,29934,December,64,1,0,11,3,0,18652.15
Salon,65,Shopping_Mall,Kano,19,157,173,0,1,64552,1736868,47,22075,September,34,0,1,10,9,0,9828.07
Pharmacy,100,Market,Port_Harcourt,19,45,293,1,1,111685,4523694,57,31962,May,68,1,0,12,7,0,26312.69
Salon,69,Shopping_Mall,Lagos,7,91,442,1,0,157990,4377280,340,38833,October,32,1,0,15,6,0,21675.58
Restaurant,35,Market,Abuja,2,55,430,1,1,117375,2269878,245,22177,April,65,0,0,12,5,0,20433.86
Retail_Shop,75,Market,Lagos,3,20,391,0,1,163936,4232852,463,20936,September,72,0,1,10,7,1,19338.66
Supermarket,90,Street_Shop,Lagos,2,71,45,1,1,22023,2010481,407,26518,January,42,1,0,11,9,1,14801.27
Supermarket,118,Shopping_Mall,Abuja,3,165,253,0,1,196646,778883,270,11364,November,92,0,0,12,3,0,11819.27
Retail_Shop,35,Estate,Lagos,2,19,198,0,0,8641,4351987,260,6434,November,84,1,0,10,7,0,17466.36
Pharmacy,113,Shopping_Mall,Lagos,11,158,449,0,1,169693,3227159,415,48385,September,58,0,1,8,5,1,26165.0
Pharmacy,78,Estate,Abuja,19,138,490,1,1,117353,392604,446,22260,December,77,0,0,13,0,0,12664.22
Supermarket,24,Street_Shop,Enugu,3,15,286,0,1,26728,3632166,110,42705,March,66,0,1,14,8,1,22814.45
Retail_Shop,98,Street_Shop,Ibadan,2,75,164,1,0,115142,133386,20,20858,February,93,0,1,14,3,0,4797.7
Retail_Shop,23,Street_Shop,Enugu,3,118,412,1,1,28198,2764394,404,4103,July,52,0,0,10,0,1,11318.23
Retail_Shop,51,Street_Shop,Abuja,11,38,52,0,1,175545,4694643,60,33692,November,38,0,1,13,3,0,32646.41
Electronics,86,Estate,Port_Harcourt,4,68,414,0,0,172782,192530,93,35819,April,31,0,0,8,6,0,7764.19
Supermarket,111,Street_Shop,Ibadan,19,108,364,0,1,30387,1422535,50,9866,December,88,1,1,8,0,1,16481.52
Salon,99,Market,Port_Harcourt,12,182,380,0,1,49935,237497,334,8837,August,77,0,1,10,2,0,5283.3
Restaurant,105,Market,Abuja,15,63,180,1,0,174897,4569949,64,3875,February,48,0,0,9,7,0,14642.4
Supermarket,12,Shopping_Mall,Kano,17,119,340,1,1,191272,4245379,405,21810,December,62,1,1,14,4,1,42593.39
Pharmacy,78,Estate,Kano,5,130,117,0,1,176511,1441110,259,24529,August,49,0,1,14,6,1,10797.58
Fashion_Store,60,Shopping_Mall,Kano,1,44,81,0,1,123714,4883463,148,35948,July,44,0,0,9,2,0,22510.39
Pharmacy,36,Shopping_Mall,Lagos,7,106,396,1,0,183230,510573,281,13096,July,50,1,0,14,2,1,12619.7
Electronics,87,Online,Port_Harcourt,6,136,179,0,1,35426,640478,135,18318,April,75,0,1,15,7,0,9630.38
Fashion_Store,32,Shopping_Mall,Lagos,17,172,157,0,1,66677,1732686,217,40888,February,46,0,1,10,6,0,8996.48
Restaurant,61,Estate,Enugu,5,92,395,0,0,68527,2917385,56,36986,December,66,0,1,15,2,0,20717.04
Fashion_Store,100,Street_Shop,Kano,19,171,110,0,1,25818,1989412,429,46247,May,37,0,1,13,5,1,13663.3
Salon,80,Market,Kano,13,178,272,0,1,199535,1713566,317,23006,December,34,0,0,8,8,0,15226.09
Retail_Shop,71,Street_Shop,Lagos,15,14,411,1,1,137800,698454,86,35651,June,37,0,0,15,1,1,9804.99
Salon,13,Market,Lagos,8,172,212,0,1,15503,4069023,353,12744,February,58,1,1,12,1,0,16072.93
Fashion_Store,63,Estate,Ibadan,1,79,185,0,0,56075,1293121,447,34520,March,51,0,1,13,0,0,11721.26
Restaurant,111,Street_Shop,Enugu,18,138,51,1,1,159629,1605956,166,36035,September,50,0,1,14,2,1,18342.47
Supermarket,48,Shopping_Mall,Ibadan,19,182,434,0,0,137980,920503,274,6494,June,55,1,0,8,9,0,9013.47
Supermarket,61,Market,Lagos,13,39,299,1,1,45243,476285,39,25037,March,54,0,1,11,5,1,19934.28
Salon,55,Street_Shop,Kano,9,146,97,1,1,175969,390179,205,2146,December,35,1,1,9,0,0,13393.49
Pharmacy,65,Estate,Enugu,6,74,327,0,1,5648,280230,140,40034,March,64,0,0,15,0,0,8837.22
Electronics,30,Estate,Kano,17,21,350,1,1,165046,1060382,378,44159,August,57,0,1,9,6,1,16265.79
Supermarket,94,Market,Port_Harcourt,7,26,62,1,1,144443,3228929,486,23260,November,54,0,1,9,3,1,30356.72
Pharmacy,88,Street_Shop,Enugu,6,73,339,1,1,129328,297542,472,8615,July,76,0,1,15,1,0,7727.79
Electronics,61,Market,Enugu,8,44,475,1,0,16653,283548,142,38688,September,53,0,1,10,0,0,7287.98
Salon,52,Market,Ibadan,4,151,295,0,1,8392,2375647,325,10707,April,43,0,0,13,5,0,10696.61
Restaurant,43,Estate,Ibadan,8,65,95,1,1,135556,2599467,420,47683,August,87,0,0,12,5,0,17920.91
Pharmacy,78,Market,Kano,3,153,363,0,0,66186,2311959,58,13057,April,80,0,0,8,1,1,13125.52
Supermarket,41,Market,Kano,2,184,122,0,0,134994,1767931,34,16924,August,34,0,0,13,7,0,7613.79
Pharmacy,76,Street_Shop,Lagos,5,115,419,0,0,136345,1527559,249,49031,November,92,0,0,11,8,1,16258.21
Pharmacy,47,Market,Ibadan,9,57,396,0,1,154895,1762886,368,45889,October,79,0,0,8,0,0,12850.36
Fashion_Store,112,Shopping_Mall,Kano,17,131,39,0,1,49701,4346912,331,15648,October,90,0,1,14,8,0,13971.76
Salon,99,Street_Shop,Port_Harcourt,4,189,21,1,1,171533,1173156,492,27329,May,31,1,1,15,4,1,16273.2
Electronics,72,Shopping_Mall,Abuja,17,146,431,0,1,118297,1064680,319,36759,March,73,1,0,10,2,0,20525.03
Electronics,66,Estate,Port_Harcourt,16,73,34,0,1,140840,4921899,313,46264,September,47,0,0,10,6,0,19925.21
Supermarket,91,Market,Port_Harcourt,17,39,374,0,1,115637,3615590,39,813,November,80,1,1,15,5,1,36954.23
Supermarket,11,Shopping_Mall,Lagos,12,117,79,0,1,64567,3231273,410,7974,May,60,0,0,11,7,0,8511.16
